file_name,method,terminates,memory,opcode
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.changeOwner:address,True,9,22129
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"Controller.addSweeper:address,address",True,9,22188
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.changeAuthorizedCaller:address,True,9,21931
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"DefaultSweeper.sweep:address,uint256",True,27,254167
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Token.balanceOf:address,True,15,254
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"Token.transfer:address,uint256",True,15,317
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"UserWallet.sweep:address,uint256",True,"3*max([nat(calldatasize)/32+4])+pow(max([nat(calldatasize)/32+4]),2)/512",71575+3* (nat(l(calldatasize))/32)
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"UserWallet.tokenFallback:address,uint256,bytes",True,"3*max([nat(data)/32+4+1])+pow(max([nat(data)/32+4+1]),2)/512",425+3* (nat(l(data))/32)
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_novo_problema:uint256,True,15,345+50*nat(l(x))
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,"DesafioStone.o_deus:bytes32,bytes32",True,15,611
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_automata:uint256,True,maximize_failed,"4437+max([70,35+failed(cover_point)])"
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,"DesafioStone.o_velho_problema:uint256,uint256",True,15,413
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.a_palavra:bytes5,True,15,565
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.a_empresa:bytes5,True,15,609
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_labirinto:uint256,,,
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_algoritmo:uint256,True,15,1869
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_aprendiz:uint256,True,15,354
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,"DesafioStone.responder:uint256,uint256,uint256,bytes5,bytes14,bytes5,uint256,uint256,uint256,uint256,uint256,uint256",,,
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.a_incognita:uint256,True,15,610
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_minerador:uint256,True,15,5185
0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44.sol,DesafioStone.o_desafiante:bytes14,True,15,587
0x602731e5a8aafa9dc9c2cdc222f5a90f3c4bb42c.sol,,,,
0x333df93d58b730f088dcabc99833cbf1c8d0c963.sol,,,,
0x736703abc14c182ac77f674a40fb478c05a5a919.sol,,,,
0x6692D5dD701b9373933730d4e4f3b498DB7F7C32.sol,,,,
0xc417e791fa2354215bb3C0A271e2603243AA7820.sol,,,,
0xc22462d4bc50952b061c9e6c585fdd9a04d0d75a.sol,,,,
0x8e817690779f4be99253d52601393c03eee8f06e.sol,,,,
0x9c3a120cc5c82b8ff3b418936a2b2104ac05558f.sol,,,,
0xfa8b08da751303d320670febcb9b418cf2d4c226.sol,,,,
0xe98fd877793e799c0f7b7215cbf26b77b2964891.sol,,,,
0x6723b493afa31e9377d56bb47185c50f6fa5fe1c.sol,,,,
0xb69f13315e94ef380529758b58157383b9b2d97e.sol,,,,
0x4fdc6232d7c98c685024A22d7c1C92ccfA57aE27.sol,"SafeMathLibExt.minus:uint256,uint256",True,15,390
0x4fdc6232d7c98c685024A22d7c1C92ccfA57aE27.sol,"SafeMathLibExt.divides:uint256,uint256",True,15,477
0x4fdc6232d7c98c685024A22d7c1C92ccfA57aE27.sol,"SafeMathLibExt.plus:uint256,uint256",True,15,359
0x4fdc6232d7c98c685024A22d7c1C92ccfA57aE27.sol,"SafeMathLibExt.times:uint256,uint256",True,15,395
0x01bf88ff18bd3c3fa1c065888916b36ba68ef730.sol,,,,
0xf70a642bd387f94380ffb90451c2c81d4eb82cbc.sol,,,,
0x755cdba6ae4f479f7164792b318b2a06c759833b.sol,,,,
0x1e8cc3c765c4adb887f2886b2fa0c7ea5ee5b5ba.sol,,,,
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.balanceOf:address,True,15,1271
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.filehash,True,maximize_failed,3288+850*nat(filehash/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.name,True,maximize_failed,3156+850*nat(name/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,"Xirkle.allowance:address,address",True,15,1479
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.owner,True,15,1225
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.collectExcess,True,12,37204
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,"Xirkle.approve:address,uint256",True,15,20510
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.symbol,True,maximize_failed,3376+850*nat(symbol/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.standard,True,maximize_failed,3266+850*nat(standard/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.users:uint256,True,15,2059
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,"Xirkle.transfer:address,uint256",True,15,46859
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.decimals,True,15,1093
0x80209a6d47b530f188c50f2579aa943e3644df9d.sol,Xirkle.totalSupply,True,15,1023
0x0168703872fa06741ecaa9dff7803168e83f7ae0.sol,,,,
0x873c58020bcb114b4fea456cef93aaf58e8e305d.sol,,,,
0x3f6e75dea1a997bf6bb59334c425cf7f0803f3c7.sol,,,,
0x5d9a60dcd25966e49a7db368241e8766ca834d61.sol,,,,
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.acceptOwnership,True,12,46853
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.owner,True,15,1115
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.addAdmin:address,True,15,23138
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.admins:address,True,15,1176
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.removeAdmin:address,True,15,23069
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.newOwner,True,15,1137
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Admined.transferOwnership:address,True,9,22063
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.acceptOwnership,True,12,46875
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.sealed,True,15,1203
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.owner,True,15,1137
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.addAdmin:address,True,15,23160
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.seal,True,9,22751
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.admins:address,True,15,1198
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,"DeveryPresaleWhitelist.multiAdd:address[],uint256[]",,,
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.removeAdmin:address,True,15,23069
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.newOwner,True,15,1181
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.transferOwnership:address,True,9,22151
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,DeveryPresaleWhitelist.whitelist:address,True,15,1249
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,"DeveryPresaleWhitelist.add:address,uint256",True,15,24731
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Owned.acceptOwnership,True,12,46787
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Owned.transferOwnership:address,True,9,21997
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Owned.owner,True,15,1049
0x38E330C4330e743a4D82D93cdC826bAe78C6E7A6.sol,Owned.newOwner,True,15,1071
0x26ab4e37a0ca037791c9c935a5691d63466ba487.sol,,,,
0x23a032f8678c99300a40e1a7762e71ada6a23f3f.sol,,,,
0x479bed65685b0672ec2ff8b0a8fbe06b4ce0a710.sol,,,,
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,Owned.owner,True,15,1027
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.owner,True,15,1093
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.init,True,18,295916
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.unlocked:uint256,True,15,1192
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.initial_time,True,15,1067
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.token,True,15,1159
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.unlock:uint256,True,21,62944
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsDevAllocation.unlock_times:uint256,True,15,1111
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,ProspectorsGoldToken.balanceOf:address,,,
0x9c40531a9df59a2b548fb659af6ff48d80d5d035.sol,"ProspectorsGoldToken.transfer:address,uint256",,,
0xf28a521cc13f6698DDCF9B197608052632fC3ea3.sol,,,,
0xDea48D521832780f5e437F7f744c94d2CdA85Af9.sol,,,,
